filename,width,height,class,xmin,ymin,xmax,ymax
CS2_150_6.png,861,422,CS2_150,599,238,678,346
CS2_150_7.png,861,422,CS2_150,299,239,437,422
CS2_150_5.png,861,422,CS2_150,299,59,367,150
CS2_150_4.png,861,422,CS2_150,421,57,527,193
CS2_150_0.png,861,422,CS2_150,379,194,464,310
CS2_150_1.png,861,422,CS2_150,598,50,737,235
CS2_150_3.png,861,422,CS2_150,129,59,202,157
CS2_150_2.png,861,422,CS2_150,574,236,648,335
CS2_150_9.png,861,422,CS2_150,470,236,556,353
CS2_150_8.png,861,422,CS2_150,201,227,304,363
